timestamp,x,y,polarity
0,73,76,0
303,73,76,0
607,73,76,0
910,73,76,0
1214,73,76,0
1214,18,68,1
1517,18,68,1
1821,18,68,1
2124,18,68,1
2428,18,68,1
2731,18,68,1
2999,103,59,0
3034,23,105,0
3239,48,23,0
3292,38,4,0
3471,3,81,0
3688,66,87,0
3992,66,87,0
4002,48,66,0
4127,67,1,0
4281,26,123,0
4584,26,123,0
4834,43,114,0
4915,57,11,0
5055,28,11,0
5083,57,106,0
5161,45,101,0
5189,22,6,0
5310,37,92,0
5449,101,40,0
5538,18,80,0
5576,24,14,0
5631,2,16,0
5934,2,16,0
6051,43,45,0
6073,11,90,0
6100,43,84,0
6246,93,25,0
6549,93,25,0
6665,27,53,0
6968,27,53,0
7121,17,16,1
7194,22,108,0
7233,115,108,0
7537,115,108,0
7833,35,74,0
7908,114,19,0
7946,85,54,0
7968,67,1,0
7975,39,62,0
8116,50,28,0
8346,37,89,0
8582,45,115,0
8753,85,3,0
9057,85,3,0
9133,19,106,0
9316,68,35,0
9365,85,24,0
9409,50,23,0
9504,55,73,0
9808,55,73,0
9875,12,48,0
10009,60,112,0
10305,52,11,0
10398,52,52,0
10702,52,52,0
11005,52,52,0
11309,52,52,0
11374,95,112,0
11435,73,32,0
11668,18,103,0
11689,104,39,0
11697,100,36,0
11743,18,80,0
11759,22,108,0
11865,36,37,0
12150,74,80,0
12454,74,80,0
12757,74,80,0
13023,83,68,0
13294,104,49,0
13580,86,52,0
13883,86,52,0
13934,98,55,0
13976,99,52,0
14124,87,31,0
14427,87,31,0
14731,87,31,0
15034,87,31,0
15084,48,108,0
15366,44,75,0
15669,44,75,0
15973,44,75,0
16275,18,80,0
16282,61,3,0
16291,18,82,0
16568,26,74,0
16650,44,13,0
16870,85,39,0
17012,22,31,0
17172,125,113,0
17205,93,72,0
17254,96,48,0
17473,117,54,0
17777,117,54,0
17807,14,2,0
17921,56,106,0
18156,101,123,0
18179,13,38,0
18482,13,38,0
18573,89,45,0
18877,89,45,0
18975,50,28,0
18992,125,80,0
19296,125,80,0
19447,98,12,0
19532,16,102,0
19835,16,102,0
19862,18,103,0
20009,89,45,0
